the_geom,ObjectID,Location,Address,Zip Code,Phone,Hours,Sunday Hours,Computers,Kids PC Area,Teen PC Area,Internet,WiFi,Printing,Support Available,Support Type,Restrictions,Device Rental Program,Device Rental Type,Device Rental Requirements,Device Rental Restrictions,Classes Available
POINT (-90.014738559087 29.966614522694),15,Sanchez Center,1616 Caffin Ave,70117,(504) 658-3059,"8 a.m. - 9 p.m. Mon-Fri  
9 a.m. - 2 p.m. Sat ",No,,,,,,,,,,,,,,
POINT (-90.061484355852 29.997528980088),12,Norman Mayer Gentilly Branch,3001 Gentilly Blvd.,70122,(504) 596-3100,"10 a.m. - 8 p.m. Mon. - Thurs.
10 a.m. - 5 p.m. Fri. -Sat.
1 p.m. - 5 p.m., Sun.",Yes,29,Yes,No,Yes,Yes,Yes,Yes,Full-Time,,Yes,iPad,18+,In-House Only,Basic Computing
POINT (-90.103597683593 29.948815396931),13,Rosa Keller Branch,4300 S Broad St,70125,(504) 596-2660,"10 a.m. - 8 p.m., Mon. - Thurs.
10 a.m. - 5 p.m., Fri. - Sat",No,18,Yes,No,Yes,Yes,Yes,Yes,As Needed,,Yes,iPad,18+,In-House Only,Open Tutoring
POINT (-89.970753564801 30.031888407733),21,Joe W. Brown Rec Center,5601 Read Blvd,70127,(504) 658-3000,"10 a.m. - 9 p.m. Mon-Fri
9 a.m. - 2 p.m. Sat",No,6,,,Yes,Yes,,,,,,,,,
POINT (-90.087156492589 29.918743618441),19,Lyons Center,624 Louisiana Ave,70112,(504) 658-3004,"10 a.m. - 9 p.m. Mon-Friday
9 a.m. - 2 p.m. Sat",No,11,,,Yes,Planned,,,,,,,,,
POINT (-90.103930639465 29.984864945605),18,Delgado: City Park,615 City Park Ave,70119,(504) 671-5434,"4 p.m. - 5:30 p.m. Mon/Wed
11:30 p.m. - 1:00 p.m. Tues/Thurs",No,,No,No,,,,,,"Adult education: 
Jan - March",,,,,Basic Computing
POINT (-90.127091034077 29.956972449693),20,Community Committment Education Center,8540 Spruce Street,70118,(504) 638-0044,"9 a.m. - 6 p.m. Mon-Friday
9 a.m. - 2 p.m. Sat",No,,,,,,,,,,,,,,Basic Computing
POINT (-90.08607196687 29.942696731199),4,Central City Branch,2405 Jackson Ave. Building C Room 235,70113,(504) 596-3110,"10 a.m. -7 p.m., Mon.- Thurs.
11 a.m. - 4 p.m. Fri.",No,6,No,No,Yes,Yes,Yes,Yes,Limited,,Yes,iPad,18+,In-House Only,Basic Computing
POINT (-89.918993615335 30.040574371485),17,Mary Queen of Vietnam,14001 Dwyer Blvd,70129,(504) 254-3583,,,,,,,,,,,,,,,,
POINT (-90.048205066212 29.953111499),11,Cita Dennis Hubbel Branch,725 Pelican Avenue,70114,(504) 596-3113,"10 a.m. - 8 p.m. Mon. - Thurs.
10 a.m. - 5:00 p.m. Fri- Sat.",No,8,Yes,No,Yes,Yes,Yes,Yes,As Needed,,Yes,iPad,18+,In-House Only,MS Office
POINT (-89.98262692975 29.923490683572),23,Cut Off Rec Center,6600 Belgrade St,70131,(504) 658-3058,"10 a.m. - 9 p.m. Mon-Fri
9 a.m. - 2 p.m. Sat",No,2,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned
POINT (-90.07539264034 29.954512226718),1,Main Library,219 Loyola Ave,70112,(504) 596-2560,"10 a.m. - 8 p.m., Mon.-Thurs.
 10 a.m. - 5 p.m. Fri. & Sat.
1 p.m. - 5 p.m. Sun.",Yes,52,Yes,Yes,Yes,Yes,Yes,Yes,As Needed,,Yes,iPad,18+,In-House Only,Basic Computing
POINT (-90.075017445725 29.992639837475),22,St. Bernard Rec Center,1500 Lafreniere St,70112,(504) 658-,,,2,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned,Planned
